Close,Return,MA5_Return,MA10_Return
191.4065704,-0.001340275,0.005928217,0.000665628
192.7601318,0.007071656,0.005559454,0.001974613
190.8137665,-0.010097344,0.002686606,0.000690015
189.638031,-0.006161691,0.001293147,0.000658189
190.4383087,0.004220028,-0.001281153,0.002161217
191.2978821,0.004513658,-0.000113803,0.002885837
192.1673431,0.004545064,-0.000620755,0.002456798
190.9026642,-0.006581134,9.31E-05,0.001388608
193.4813843,0.013508036,0.004026797,0.002659541
194.0939484,0.00316601,0.003814763,0.001269474
193.2640381,-0.004275817,0.002043942,0.000968945
190.27034,-0.015490198,-0.001968031,-0.001297539
188.8772888,-0.007321431,-0.002105353,-0.001010494
179.8073425,-0.048020312,-0.014243986,-0.005135044
176.7050323,-0.017253523,-0.018375439,-0.007210581
177.643631,0.005311669,-0.016815591,-0.007221158
176.052948,-0.008954349,-0.015566994,-0.008584212
175.835556,-0.00123481,-0.014505541,-0.008095814
175.894928,0.000337656,-0.004415596,-0.009526628
177.5471497,0.009393231,0.000954639,-0.009049656
175.5585327,-0.011200501,-0.002361449,-0.009771799
174.6879425,-0.004958974,-0.001549577,-0.008684907
172.1453247,-0.014555199,-0.004195714,-0.009407324
172.6301117,0.00281615,-0.003727666,-0.004073624
173.9657135,0.007736784,-0.004104473,-0.001561131
175.3408966,0.007904909,-0.000250448,-0.001314375
179.1894379,0.021948908,0.005181458,0.001792629
174.4999695,-0.026170451,0.002696349,-0.000761975
176.706192,0.012643111,0.004655046,0.000463193
178.2693634,0.008846161,0.004892167,0.000412159
182.1574554,0.021810209,0.007710988,0.003764374
185.649826,0.019172263,0.007252162,0.006229786
185.8674774,0.001172376,0.012668813,0.007750202
187.4405365,0.008463337,0.011813504,0.008300521
187.6779785,0.001266759,0.0102336,0.007621792
180.9603882,-0.035793173,-0.001288841,0.003099898
175.6673584,-0.02924966,-0.010761652,-0.001936891
176.280777,0.003491933,-0.010447425,0.000981217
177.4481964,0.0066225,-0.011004452,0.00040844
174.4207916,-0.017060781,-0.014762444,-0.002117603
172.3531036,-0.011854596,-0.009728191,-0.005406104
173.8667755,0.008782388,-0.002055061,-0.00653247
173.144577,-0.004153746,-0.003586812,-0.007099899
176.072998,0.016913155,-0.00157845,-0.006388912
177.1612854,0.006180887,0.003150506,-0.005948716
173.6194611,-0.01999209,0.001451248,-0.004177209
172.0760651,-0.008889533,-0.002049184,-0.002052126
172.9268646,0.004944323,-0.000249649,-0.001920424
174.2031555,0.007380524,-0.002144667,-0.00186166
170.1270752,-0.02339843,-0.008085421,-0.002467873
168.6133881,-0.008897391,-0.005801098,-0.002154771
168.870636,0.001525667,-0.003736164,-0.002884921
169.3850861,0.003046415,-0.004143686,-0.002177124
171.8980103,0.014835569,-0.002708114,-0.002423013
170.5623627,-0.00777,0.00051277,-0.003839081
171.80896,0.007308748,0.003762464,-0.001057361
173.045639,0.007197989,0.00489722,0.000566846
175.5981293,0.014750388,0.007252297,0.001560828
177.0821533,0.008451252,0.006007723,0.001679585
176.4885254,-0.003352274,0.006826612,0.003704998
177.8835144,0.007904134,0.006950105,0.005379123
178.7838287,0.005061258,0.006519944,0.005721494
176.9436493,-0.010292762,0.001518927,0.004337679
176.815033,-0.000726877,-0.000301089,0.002809575
175.2617798,-0.008784622,-0.001383161,0.002677713
173.9657135,-0.007395031,-0.004423456,0.001225629
173.5897827,-0.002160948,-0.005890477,0.000308845
171.0372925,-0.01470415,-0.006737986,-0.002587838
171.1559906,0.00069399,-0.006499644,-0.003371254
171.5913086,0.002543399,-0.004243267,-0.002795335
169.2762299,-0.013491818,-0.005444404,-0.004926816
165.1111145,-0.024605436,-0.009897464,-0.007865021
166.4269562,0.007969431,-0.005435615,-0.006097525
168.4748688,0.012305174,-0.003178336,-0.00486525
168.9497528,0.002818723,-0.003141416,-0.003700135
172.1156464,0.018738669,0.003387359,-0.001088544
175.6773071,0.020693417,0.012562674,0.001229598
174.7670746,-0.005181276,0.009792957,0.002194226
177.3195801,0.014605185,0.010284732,0.003618093
179.8819733,0.014450706,0.012582701,0.004849165
180.9405518,0.00588485,0.010031019,0.006789475
180.4656982,-0.002624362,0.005388773,0.008877202
184.6561127,0.023220005,0.011069304,0.010446392
183.0710754,-0.008583725,0.006367458,0.00827802
185.6863861,0.014285767,0.006385384,0.009414001
186.2510223,0.003040806,0.005804936,0.007876698
187.9351654,0.009042329,0.008117836,0.006777102
187.9153595,-0.000105387,0.003513635,0.007220466
189.6588745,0.009278193,0.007077118,0.006727627
188.8564301,-0.004230988,0.003381572,0.004860352
189.5201721,0.003514533,0.003475538,0.004624044
188.1927338,-0.007004206,0.000272881,0.004145369
188.0144043,-0.00094759,0.000104904,0.001794205
188.6186981,0.003214083,-0.001101599,0.002958572
187.5983276,-0.0054097,-0.001333863,0.001016639
188.1728973,0.003062766,-0.001430313,0.001020883
189.4508209,0.00679122,0.001337541,0.000804282
187.6577759,-0.009464435,-0.000378645,-0.000136577
191.6104431,0.021063168,0.003177642,0.001034908
190.520752,-0.005687013,0.003094182,0.00088167
192.4524994,0.010139302,0.004517147,0.001552024
193.8790283,0.007412369,0.004652982,0.003004982
191.3726654,-0.012927458,0.003885378,0.001769391
192.8883667,0.007920156,0.001331399,0.002245617
196.1079865,0.016691622,0.005813294,0.004465598
196.256546,0.00075754,0.003935083,0.004223182
195.7216187,-0.002725654,0.00189859,0.003262308
194.0573273,-0.00850336,0.002761012,0.003318464
195.0974884,0.005360071,0.002265692,0.001802214
193.0072632,-0.010713747,-0.003172936,0.001282795
192.8586426,-0.000770026,-0.003488105,0.000209261
191.7887573,-0.00554751,-0.004051396,-0.001076767
191.2439117,-0.002840863,-0.00291,-6.64E-05
191.3429413,0.000517818,-0.003894774,-0.00079701
191.7689514,0.002226422,-0.001289584,-0.002239522
190.7287598,-0.005424192,-0.002220934,-0.002859481
